"","rs_mean","rs_sd","year","rh_mean","rh_sd","AT"
"1987",85.158,10.027,1987,48.501,10.027,14.01
"1988",86.182,10.003,1988,48.698,10.003,14.14
"1989",83.957,9.947,1989,48.201,9.947,13.91
"1990",85.445,10.097,1990,48.872,10.097,14.2
"1991",85.729,10.08,1991,48.963,10.08,14.05
"1992",83.898,9.843,1992,48.087,9.843,13.74
"1993",84.209,9.905,1993,48.323,9.905,13.87
"1994",85.206,10.162,1994,48.745,10.162,14.04
"1995",87.17,10.211,1995,49.674,10.211,14.35
"1996",84.03,10.118,1996,48.227,10.118,13.89
"1997",87.412,10.211,1997,49.664,10.211,14.19
"1998",88.784,10.604,1998,50.211,10.604,14.52
"1999",85.565,10.311,1999,48.974,10.311,14.29
"2000",85.217,10.268,2000,48.829,10.268,14.14
"2001",87.149,10.291,2001,49.645,10.291,14.38
"2002",87.088,10.274,2002,49.58,10.274,14.47
"2003",87.28,10.285,2003,49.713,10.285,14.46
"2004",87.284,10.288,2004,49.561,10.288,14.29
"2005",87.841,10.374,2005,49.972,10.374,14.6
"2006",87.43,10.583,2006,49.788,10.583,14.46
"2007",87.879,10.394,2007,50.023,10.394,14.59
"2008",86.047,10.338,2008,49.234,10.338,14.35
"2009",86.686,10.439,2009,49.373,10.439,14.38
"2010",88.831,10.793,2010,50.3,10.793,14.66
"2011",87.01,10.43,2011,49.633,10.43,14.37
"2012",87.328,10.337,2012,49.652,10.337,14.41
"2013",87.334,10.573,2013,49.73,10.573,14.5
"2014",87.51,10.453,2014,49.772,10.453,14.5
"2015",90.286,10.611,2015,50.928,10.611,14.89
"2016",91.103,10.92,2016,51.324,10.92,14.99
